Brand,Car Name,Body Type,Seats,Fuel Type,Price_Lakh,Mileage_kmpl,Power_BHP,Safety_Stars,Rating_is,Price_Bucket,image_url
Citroen,Citroen Basalt,SUV,5.0,Petrol,7.99,18.5,94.0,4.0,4.6,0-10L,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Citroen_Basalt_Turbo_200_Shine_2025.jpg/960px-Citroen_Basalt_Turbo_200_Shine_2025.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Citroen,Citroen Aircross,SUV,7.0,Petrol,11.52,17.5,94.5,5.0,4.6,10-15L,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Citroen_C3_Aircross_%282017%29_Facelift_1X7A7060.jpg/960px-Citroen_C3_Aircross_%282017%29_Facelift_1X7A7060.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Citroen,Citroen eC3,Hatchback,5.0,Electric,12.555,15.70165456048878,478.33651368239606,5.0,4.4,10-15L,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Citroen_%C3%AB-C3_IMG_4539.jpg/960px-Citroen_%C3%AB-C3_IMG_4539.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Citroen,Citroen C5 Aircross,SUV,5.0,Diesel,39.99,17.0,174.0,4.0,4.1,30-50L,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/2022_Citroen_C5_Aircross_Plug-in-Hybrid_Automesse_Ludwigsburg_2022_retusche_1X7A5909.jpg/960px-2022_Citroen_C5_Aircross_Plug-in-Hybrid_Automesse_Ludwigsburg_2022_retusche_1X7A5909.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Jeep,Jeep Compass,SUV,5.0,Diesel,18.99,15.0,166.5,5.0,4.2,15-20L,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Jeep_Compass_%28MP%29_PHEV_Facelift_1X7A0140.jpg/960px-Jeep_Compass_%28MP%29_PHEV_Facelift_1X7A0140.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Jeep,Jeep Meridian,SUV,7.0,Diesel,24.99,15.0,168.0,5.0,4.4,20-30L,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/2021_Jeep_Commander_Limited_%28Brazil%29_front_view.png/960px-2021_Jeep_Commander_Limited_%28Brazil%29_front_view.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Jeep,Jeep Wrangler,SUV,5.0,Petrol,67.65,10.5,268.0,5.0,4.8,50-100L,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Jeep_Wrangler_Rubicon_392_IMG_7673.jpg/960px-Jeep_Wrangler_Rubicon_392_IMG_7673.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Jeep,Jeep Grand Cherokee,SUV,5.0,Petrol,80.5,15.025,268.0,5.0,4.3,50-100L,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Jeep_Grand_Cherokee_%28WL%29_4xe_IMG_8481_%28cropped%29.jpg/960px-Jeep_Grand_Cherokee_%28WL%29_4xe_IMG_8481_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Audi,Audi Q3,SUV,5.0,Petrol,44.25,14.0,190.0,5.0,4.7,30-50L,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Audi_Q3_FJ_IAA_2025_DSC_2505.jpg/960px-Audi_Q3_FJ_IAA_2025_DSC_2505.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Audi,Audi A4,Sedan,5.0,Petrol,46.02,17.0,194.5,5.0,4.7,30-50L,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Audi_A4_B6_TDI_Cabrio_%282019-03-27_Sp_r%29.JPG/960px-Audi_A4_B6_TDI_Cabrio_%282019-03-27_Sp_r%29.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Audi,Audi A6,Sedan,5.0,Petrol,64.41,14.0,251.0,5.0,4.7,50-100L,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Audi_A6_Avant_e-tron_DSC_7425.jpg/960px-Audi_A6_Avant_e-tron_DSC_7425.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
